accession	parent_molregno	integrated_plasma_activity	predicted
Q99720	6643	0.0	0
Q9NUW8	6643	0.0	0
P35354	6706	1.0	0
Q16539	6706	1.0	0
P00352	6723	1.0	0
P02545	6723	0.0	0
P10636	6723	0.0	0
P28482	6723	0.0	0
P54132	6723	1.0	0
P00352	6772	0.0	0
P02545	6772	0.0	0
P08172	6772	1.0	0
P08173	6772	1.0	0
P08912	6772	1.0	0
P0DMS8	6772	1.0	0
P11229	6772	1.0	0
P20309	6772	1.0	0
P0DMS8	6902	1.0	0
P10635	6902	0.0	0
P35372	6902	1.0	0
P41143	6902	1.0	0
P41145	6902	1.0	0
P00352	6914	0.0	0
P02545	6914	0.0	0
P03372	6914	1.0	0
P04637	6914	0.0	0
P06241	6914	0.0	0
P08913	6914	0.0	0
P10636	6914	0.0	0
P11712	6914	0.0	0
P14416	6914	1.0	0
P16050	6914	0.0	0
P16473	6914	0.0	0
P18089	6914	0.0	0
P18825	6914	1.0	0
