chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1515	421089	421089	CHEMBL1515
CHEMBL1516	421145	421145	CHEMBL1516
CHEMBL1518	421208	421208	CHEMBL1518
CHEMBL1519	421317	421317	CHEMBL1519
CHEMBL152	48701	48701	CHEMBL152
CHEMBL1521	421332	421332	CHEMBL1521
CHEMBL1522	421334	421334	CHEMBL1522
CHEMBL1525	421902	421902	CHEMBL1525
CHEMBL1531	428747	428747	CHEMBL1531
CHEMBL1533	429174	429174	CHEMBL1533
CHEMBL1535	429737	429737	CHEMBL1535
CHEMBL1536	430124	430124	CHEMBL1536
CHEMBL1538	430522	430522	CHEMBL1538
CHEMBL154	51056	51056	CHEMBL154
CHEMBL1541	430642	430642	CHEMBL1541
CHEMBL154111	255532	255532	CHEMBL154111
CHEMBL1542	431141	431141	CHEMBL1542
CHEMBL1544	433015	433015	CHEMBL1544
CHEMBL1547	437211	437211	CHEMBL1547
CHEMBL1551	442013	442013	CHEMBL1551
CHEMBL1555813	979697	979697	CHEMBL1555813
CHEMBL1560	444750	444750	CHEMBL1560
CHEMBL1561	445681	445681	CHEMBL1561
CHEMBL1568	452533	452533	CHEMBL1568
CHEMBL1571	453121	453121	CHEMBL1571
CHEMBL157138	263558	263558	CHEMBL157138
CHEMBL1574	453532	453532	CHEMBL1574
CHEMBL1575	453536	453536	CHEMBL1575
CHEMBL1577	453564	453564	CHEMBL1577
CHEMBL158	61680	61680	CHEMBL158
CHEMBL1580	453578	453578	CHEMBL1580
CHEMBL1581	453579	453579	CHEMBL1581
CHEMBL1586	453828	453828	CHEMBL1586
CHEMBL1587	453832	453832	CHEMBL1587
CHEMBL159	71516	71516	CHEMBL159
CHEMBL1590	454076	454076	CHEMBL1590
CHEMBL1591707	1015591	3730	CHEMBL459
CHEMBL1595	454306	454306	CHEMBL1595
CHEMBL1597	454382	454382	CHEMBL1597
CHEMBL16	921	921	CHEMBL16
CHEMBL1603	454518	454518	CHEMBL1603
CHEMBL1605443	1029327	1029327	CHEMBL1605443
CHEMBL1607	456266	7501	CHEMBL84
CHEMBL161	83724	83724	CHEMBL161
CHEMBL1615374	1038357	312971	CHEMBL439849
CHEMBL1615433	1038384	1038384	CHEMBL1615433
CHEMBL1615775	1038726	1038726	CHEMBL1615775
CHEMBL1615777	1038728	56402	CHEMBL818
CHEMBL1615783	1038734	NULL	NULL
CHEMBL1615784	1038735	1038735	CHEMBL1615784
CHEMBL1616045	1038996	1038996	CHEMBL1616045
CHEMBL1617	466768	466768	CHEMBL1617
CHEMBL1619	467361	467361	CHEMBL1619
CHEMBL1621	468656	468656	CHEMBL1621
CHEMBL1622	469217	469217	CHEMBL1622
CHEMBL1622855	1045806	NULL	NULL
CHEMBL1623	469632	469632	CHEMBL1623
CHEMBL1624	469690	469690	CHEMBL1624
CHEMBL1625467	1048418	1048418	CHEMBL1625467
CHEMBL1626223	1049174	1049174	CHEMBL1626223
CHEMBL1628227	1051118	1051118	CHEMBL1628227
CHEMBL163	88100	88100	CHEMBL163
CHEMBL1637	480382	75901	CHEMBL888
CHEMBL1639	480746	480746	CHEMBL1639
CHEMBL1643	485738	485738	CHEMBL1643
CHEMBL1644695	1059668	1059668	CHEMBL1644695
CHEMBL1648	486789	486789	CHEMBL1648
CHEMBL1657	495572	495572	CHEMBL1657
CHEMBL1663	498105	498105	CHEMBL1663
CHEMBL1668	503213	503213	CHEMBL1668
CHEMBL1670	504310	504310	CHEMBL1670
CHEMBL1672	506443	506443	CHEMBL1672
CHEMBL1676	508532	508532	CHEMBL1676
CHEMBL167731	280181	280181	CHEMBL167731
CHEMBL1682	513323	513323	CHEMBL1682
CHEMBL16829	18167	18167	CHEMBL16829
CHEMBL1683	515027	515027	CHEMBL1683
CHEMBL1684	515239	515239	CHEMBL1684
CHEMBL1688530	1076140	1076140	CHEMBL1688530
CHEMBL1694	544432	61706	CHEMBL838
CHEMBL1697742	1078506	1078506	CHEMBL1697742
CHEMBL17	1085	1085	CHEMBL17
